S/N,4,24
Items,"Bb CLARINET
","Bb CLARINET
"
Allegro-Brio,,
Artists Academy (S) Pte. Ltd.,"Yamaha
YCL255
Indonesia
$758
|
Buffet Crampon
BC2501-2-0 (E11)
Germany
$1,300
","Yamaha
YCL650
Japan
$2,050
|
Yamaha
YCL650E
Japan
$2,150

"
Accent Musical Equipment Pte Ltd,"Yamaha
YCL450 III
Japan
$1,420
|
F. Arthur Uebel
Etude
Germany
$1,000
|
F. Arthur Uebel
Classic
Germany
$1,598



","Yamaha
YCL-CSVR
Japan
$3,840
|
F. Arthur Uebel
Advantage
Germany
$2,990
|
F. Arthur Uebel
Classic-L
Germany
$1,798
"
Band Concept Music Pte. Ltd.,"Jupiter
JCL750SQ
Taiwan
$1,220
","Jupiter
JCL 1100S
Taiwan
$2,188"
Blessing Music & Education Pte. Ltd.,"Jupiter
JCL750SQ
Taiwan
$1,220
","Yamaha
YCL SEVR
Japan
$3,770
"
Music Elements (Asia) Pte Ltd,,
Music360 Pte Ltd,"John Packer
JP321
UK 
(Produced in China)
$1,150



","Backun
Protege 
Canada
$3,200
|
Backun
Beta
Canada
$1,980

"
Musicgear Pte. Ltd.,"Yamaha
YCL-450M
Japan
$1,450
|
Jupiter
JCL-1100S
Taiwan 
(Made in China)
$1,390



","Buffet Crampon
R13 (BC1131)
France
$3,990
|
Selmer Paris
Seles Presence
France
$3,290
|
Yamaha
YCL-SEVR-E
Japan
$3,690

"
Swee Lee Holdings Pte Ltd,"Selmer
CL-211
USA 
(produce in Taiwan)
$1,199
|
Leblanc
L255SE
USA 
$1,514

","


"
The Band World,"Buffet Crampon
E12F
(BC2512F-2-0GB)
France
(Made in Germany)
$1,498
|
Buffet Crampon
Prodige
(BC2541-2-0GB)
France 
(Assemble in China)
$855","Buffet Crampon 
RC (BC1114-2-0) (YB try to get 3)
France
$3,999
|
Buffet Crampon 
E13 (BC1102-2-0)
France
$2,500

"
Yamaha Music (Asia) Pte Ltd,"Yamaha 
YCL450E
Japan
$1,400


","Yamaha
YCL-CX
Japan
$2,600
|
Yamaha
YCL-CXE
Japan
$2,780"
